Price,Close,High,Low,Open,Volume
Ticker,J,J,J,J,J
Date,,,,,
2000-01-03,6.113565921783447,6.233204891555471,6.113565921783447,6.233204891555471,510669
2000-01-04,6.077672958374023,6.149457213235466,6.053745609098544,6.113565085804745,304660
2000-01-05,6.113565921783447,6.17338540666946,6.053746436897435,6.053746436897435,494711
2000-01-06,6.1434760093688965,6.173386197048366,6.077674567569722,6.1016028059947205,607870
2000-01-07,6.281060218811035,6.2930241152917565,6.1733851504845445,6.1733851504845445,311431
2000-01-10,6.316951751708984,6.340879542405465,6.173384566123098,6.316951751708984,241794
2000-01-11,6.293023109436035,6.293023109436035,6.25713186713765,6.293023109436035,138306
2000-01-12,6.1614203453063965,6.304987081901569,6.125528661157603,6.304987081901569,76407
2000-01-13,6.197311878204346,6.281059586546214,6.137492401822295,6.161420633782114,213262
2000-01-14,6.209278106689453,6.233205461424348,6.185349869140356,6.197313325804253,208910
2000-01-18,6.053745746612549,6.24516807642065,6.017853618366519,6.24516807642065,520824
2000-01-19,6.077672958374023,6.185348457852186,6.029817377009063,6.029817377009063,279514
2000-01-20,5.958034038543701,6.113565120263465,5.934105806319351,6.077672992630441,525177
2000-01-21,5.742681980133057,5.922140364399292,5.706789861872922,5.910176472114877,544037
2000-01-24,5.718757152557373,5.850360487298773,5.70679325316335,5.742685392752568,416853
2000-01-25,5.635009288787842,5.670901424759117,5.587153696035615,5.62304583200689,422656
2000-01-26,5.670900821685791,5.74268420318031,5.635008689531473,5.635008689531473,528562
2000-01-27,5.694827556610107,5.754647034702542,5.64697197413616,5.670900206780144,592879
2000-01-28,5.694827556610107,5.742683580491065,5.694827556610107,5.718755347847081,750045
2000-01-31,5.646970272064209,5.742681849570372,5.646970272064209,5.718753624138674,574019
2000-02-01,5.8025031089782715,5.814467004700665,5.5632251945304025,5.646972023180142,829837
2000-02-02,5.93410587310791,5.969998001144902,5.802503022131303,5.802503022131303,709424
2000-02-03,5.922142028808594,6.029817531037264,5.898214678921904,5.922142028808594,572085
