Price,Close,High,Low,Open,Volume
Ticker,CMCSA,CMCSA,CMCSA,CMCSA,CMCSA
Date,,,,,
2000-01-03,9.910317420959473,10.387284791039542,9.579090260384502,10.268043272084663,2490058
2000-01-04,9.168374061584473,9.989817746606985,8.903392185955878,9.671839107574291,1134755
2000-01-05,8.929888725280762,9.11537574782055,8.664906894720763,9.062378993430235,884436
2000-01-06,9.274364471435547,9.565843680447335,8.77089826526094,8.850393065631764,1177008
2000-01-07,8.982880592346191,9.300857710033323,8.823891062807366,9.300857710033323,788086
2000-01-10,10.135560035705566,10.440288735063978,9.512852634611628,9.685090370029595,2497100
2000-01-11,9.20811939239502,10.33429283570898,9.115375879782492,10.28129608055144,2255745
2000-01-12,9.579092025756836,9.93681729567849,9.088875867187877,9.300860900745331,1632510
2000-01-13,10.122305870056152,10.162053269775361,9.711584465305538,9.738081868944404,772081
2000-01-14,10.347541809082031,10.519780135358706,10.175303482805358,10.29454505254199,1051849
2000-01-18,10.281292915344238,10.466779883465126,9.950065724320984,10.201798130646523,1827451
2000-01-19,10.904001235961914,11.023242780432529,10.360788964658605,10.387287013748695,1945248
2000-01-20,10.572776794433594,11.102740504602862,10.466783922973622,11.029871012159054,897560
2000-01-21,10.519781112670898,10.758264274299803,10.34754277039288,10.678770749930983,870032
2000-01-24,10.281292915344238,10.692014891065206,10.215047477139587,10.599271407004762,648203
2000-01-25,9.685088157653809,10.175304482826625,9.45985369983177,10.122308368208715,798970
2000-01-26,9.870570182800293,9.96331365366925,9.512844996802752,9.658584551845328,560175
2000-01-27,9.870570182800293,10.54296115551303,9.81757345149643,9.936814964452196,521763
2000-01-28,9.115375518798828,9.817577481566264,9.088877465834692,9.817577481566264,574580
2000-01-31,9.141873359680176,9.23461686646835,8.638408423649953,9.227992838728868,962221
2000-02-01,9.38035774230957,9.44660320110726,8.876892126021017,9.128625257730564,501917
2000-02-02,9.936819076538086,10.17530284826997,9.512848933439976,9.671837251753884,631877
2000-02-03,10.24155044555664,10.28129720736782,9.698337366656995,10.248174474438098,573619
2000-02-04,10.281292915344238,10.466779883465126,10.10905464658608,10.26141889560464,599227
2000-02-07,10.095807075500488,10.493279749148746,9.963316184284402,10.480030401174975,609150
2000-02-08,10.135560035705566,10.254801644399661,9.989819716518772,10.254801644399661,346028
2000-02-09,9.618841171264648,10.18855222549395,9.618841171264648,10.175302875367253,320740
2000-02-10,9.883821487426758,9.883821487426758,9.5393455551721,9.645337751477893,337706
2000-02-11,9.857320785522461,9.963314254522286,9.764577309060467,9.883819476337559,456463
2000-02-14,9.420103073120117,9.883820503627256,9.340608286672978,9.830824410749397,384440
2000-02-15,9.698332786560059,9.903693116037166,9.31742153775595,9.426726375378024,277847
2000-02-16,9.168374061584473,9.618842991300827,9.115377298180372,9.618842991300827,421252
2000-02-17,9.128623962402344,9.367107709659907,8.757649316349518,9.300861613131831,537768
2000-02-18,8.373427391052246,9.141874216893056,8.373427391052246,9.128625513041298,417090
2000-02-22,8.47941780090332,8.691403488599809,8.346926907875618,8.446295077646395,1196214
2000-02-23,8.969632148742676,9.08887431645858,8.426419339118663,8.558910852290873,601788
2000-02-24,8.399925231933594,9.075629172209723,8.240935612717655,9.075629172209723,391162
2000-02-25,8.850393295288086,8.9828848483876,8.373426422077848,8.39992447384556,643081
2000-02-28,8.770895957946777,9.075625730161102,8.664903781509107,8.956383560973284,1138596
2000-02-29,8.47941780090332,8.916637877320818,8.307179510541225,8.916637877320818,873873
2000-03-01,8.611909866333008,8.757650127356328,7.896458558305573,8.472794280289019,1780396
